species,Order,Family,Genus,Jetz_Order,Jetz_Family,Jetz_Genus,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Tail.Length,Mass,ExtinctionType,ExtinctionPeriod,ExtinctionPeriodMap,IslandEndemic,Isl_group_map,LAT,LON,Isl_group_map2,LAT2,LON2,Isl_group_map3,LAT3,LON3
Zapornia_sp_Kauai_Medium,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,21.54,12.25,3.07,5.78,30.02,90.6,22.05,38.1,62.67,EX_A,EX_Other,EX_Other,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Zapornia_sp_Mangaia,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,19.81,11.32,2.89,5.39,27.9,85.75,22.17,35.19,52.14,EX_A,EX_Other,EX_Other,Yes,Cook Islands,-20.219417,-158.905882,NA,NA,NA,NA,NA,NA
Zapornia_sp_Maui,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,20.06,11.42,2.9,5.39,27.45,84.3,20.57,35.45,51.53,EX_A,EX_Other,EX_Other,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Zapornia_sp_NukuHiva,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,22.14,12.64,3.15,5.88,31.47,93.08,22.54,39.05,67.35,EX_A,EX_Other,EX_Other,Yes,Marquesas,-9.555453,-139.438929,NA,NA,NA,NA,NA,NA
Zapornia_sp_Rota,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,17.93,10.19,2.59,4.71,25.89,75.8,18.97,31.76,35,EX_A,EX_Other,EX_Other,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Zapornia_sp_Tinian,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,17.93,10.19,2.58,4.71,25.81,75.97,18.93,31.9,35,EX_A,EX_Other,EX_Other,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Zapornia_sp_UaHuka_Large,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,23.13,13.21,3.28,6.16,32.82,97.07,23.4,40.79,77.4,EX_A,EX_Other,EX_Other,Yes,Marquesas,-9.555453,-139.438929,NA,NA,NA,NA,NA,NA
Zapornia_sp_UaHuka_Small,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,19.05,10.83,2.73,5.02,27.34,80.51,19.88,33.81,42.2,EX_A,EX_Other,EX_Other,Yes,Marquesas,-9.555453,-139.438929,NA,NA,NA,NA,NA,NA
Zapornia_ziegleri,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,20.64,11.68,2.59,4.82,51.39,86.82,18.35,40.85,56.31,EX_A,EX_Other,EX_Other,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Zenaida_graysoni,Columbiformes,Columbidae,Zenaida,COLUMBIFORMES,Columbidae,Zenaida,22.4,11.6,4.3,4.2,29,147,38.8,134,191,EW,EW,EX_IUCN,Yes,Revillagigedos Islands,18.657434,-112.824628,NA,NA,NA,NA,NA,NA
Zoothera_terrestris,Passeriformes,Turdidae,Zoothera,PASSERIFORMES,Turdidae,Zoothera,25,13.91,4.71,5.59,25,100.7,28,56,62.23,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Bonin Islands,26.903392,142.180721,NA,NA,NA,NA,NA,NA
Zosteropidae_sp_Eua,Passeriformes,Zosteropidae,Zosteropidae_sp.,PASSERIFORMES,Zosteropidae,NA,13.99,8.07,3.12,3.45,17.29,59.02,9.95,45.44,11.2,EX_A,EX_Other,EX_Other,Yes,Niue and Tonga Islands,-20.083178,-172.434056,NA,NA,NA,NA,NA,NA
Zosteropidae_sp_Guam,Passeriformes,Zosteropidae,Zosteropidae_sp.,PASSERIFORMES,Zosteropidae,NA,14.02,8.09,3.12,3.45,17.35,59.26,9.95,45.59,11.2,EX_A,EX_Other,EX_Other,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Zosterops_conspicillatus,Passeriformes,Zosteropidae,Zosterops,PASSERIFORMES,Zosteropidae,Zosterops,11.6,6.82,2.46,3.05,18.69,54.81,10.73,41.38,7.9,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Zosterops_semiflavus,Passeriformes,Zosteropidae,Zosterops,PASSERIFORMES,Zosteropidae,Zosterops,14.11,7.94,3.01,3.28,17.58,59.45,10.61,43.06,11.5,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Inner Seychelles,-4.509035,55.617584,NA,NA,NA,NA,NA,NA
Zosterops_strenuus,Passeriformes,Zosteropidae,Zosterops,PASSERIFORMES,Zosteropidae,Zosterops,22.8,13.5,3.78,4.25,22.8,70.25,13.3,54.25,21.41,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Lord Howe Islands,-31.579806,159.091911,NA,NA,NA,NA,NA,NA
Glaucidium_kurochkini,Strigiformes,Strigidae,Glaucidium,STRIGIFORMES,Strigidae,Glaucidium,16.23,9.65,6.89,10.47,20.06,104.95,23.85,59.4,71.4,EX_U,EX_Other,EX_Other,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Asphaltoglaux_cecileae,Strigiformes,Strigidae,Asphaltoglaux,STRIGIFORMES,Strigidae,Extinct,18,10.31,6.3,10.19,23.89,137.01,42.53,67.06,78.2,EX_U,EX_Other,EX_Other,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Gallirallus_sp_Miyako,Gruiformes,Rallidae,Gallirallus,GRUIFORMES,Rallidae,Gallirallus,49.92,27.31,6.38,12.38,63.46,149.59,6.98,105.06,559.85,EX_A,EX_Other,EX_Other,Yes,Ryukyu Islands,27.249329,128.66157,NA,NA,NA,NA,NA,NA
Grus_sp_Miyako,Gruiformes,Gruidae,Grus,GRUIFORMES,Rallidae,Gallirallus,128.91,74.68,13.29,19.45,229.07,609.71,233.27,213.83,5826,EX_A,EX_Other,EX_Other,Yes,Ryukyu Islands,27.249329,128.66157,NA,NA,NA,NA,NA,NA
Grus_sp_Okinawa,Gruiformes,Gruidae,Grus,GRUIFORMES,Rallidae,Gallirallus,124.48,72.03,12.84,18.77,222.65,589.77,227.27,206.6,5826,EX_A,EX_Other,EX_Other,Yes,Ryukyu Islands,27.249329,128.66157,NA,NA,NA,NA,NA,NA
Nycticorax_sp_Buka,Pelecaniformes,Ardeidae,Nycticorax,PELECANIFORMES,Ardeidae,Nycticorax,82.42,56.93,14.2,19.69,80.42,297.84,89.85,107.21,833,EX_A,EX_Other,EX_Other,Yes,Solomons Islands,-9.297116,160.4441,NA,NA,NA,NA,NA,NA
Aratinga_sp_Barbuda,Psittaciformes,Psittacidae,Aratinga,PSITTACIFORMES,Psittacidae,Aratinga,27.16,22.72,13.06,22.51,15.78,160.58,67.34,131.66,119.6,EX_A,EX_Other,EX_Other,Yes,Windward and Leeward Islands,14.603884,-61.00752,NA,NA,NA,NA,NA,NA
Tongoenas_burleyi,Columbiformes,Columbidae,Tongoenas,COLUMBIFORMES,Columbidae,Extinct,36.17,17.95,6.57,8.53,43.89,252.72,68.1,173.87,1402.5,EX_A,EX_Other,EX_Other,Yes,Niue and Tonga Islands,-20.083178,-172.434056,NA,NA,NA,NA,NA,NA
Turdus_sp_Pico,Passeriformes,Turdidae,Turdus,PASSERIFORMES,Turdidae,Turdus,24.18,13.98,5.26,6.35,32.06,121.61,28.54,95.37,75.72,EX_A,EX_Other,EX_Other,Yes,Azores,38.436955,-28.2947,NA,NA,NA,NA,NA,NA
