species,species_BirdLife,Extant,ExtinctionPeriod,ExtinctionType,IslandEndemic,IUCN,GenLength,IslandEndemic2
Glaucidium_albertinum,Glaucidium_albertinum,Extant,Current,Current,No,VU,2.887,No
Glaucidium_minutissimum,Glaucidium_minutissimum,Extant,Current,Current,No,LC,2.628,No
Glaucidium_gnoma,Multiple,Extant,Current,Current,No,LC,2.257,No
Glaucidium_californicum,Glaucidium_californicum,Extant,Current,Current,No,LC,2.663,No
Glaucidium_hardyi,Glaucidium_hardyi,Extant,Current,Current,No,LC,2.772,No
Glaucidium_bolivianum,Glaucidium_bolivianum,Extant,Current,Current,No,LC,2.729,No
Glaucidium_brodiei,Glaucidium_brodiei,Extant,Current,Current,No,LC,2.248,No
Glaucidium_sjostedti,Glaucidium_sjostedti,Extant,Current,Current,No,LC,3.877,No
Glaucidium_jardinii,Glaucidium_jardinii,Extant,Current,Current,No,LC,2.993,No
Glaucidium_castaneum,Glaucidium_castaneum,Extant,Current,Current,No,LC,3.18,No
Glaucidium_sanchezi,Glaucidium_sanchezi,Extant,Current,Current,No,NT,3.048,No
Glaucidium_siju,Glaucidium_siju,Extant,Current,Current,Yes,LC,2.89,Yes
Glaucidium_nanum,Glaucidium_nana,Extant,Current,Current,No,LC,2.538,No
Glaucidium_griseiceps,Glaucidium_griseiceps,Extant,Current,Current,No,LC,2.712,No
Glaucidium_castanonotum,Glaucidium_castanotum,Extant,Current,Current,No,NT,3.182,No
Glaucidium_peruanum,Glaucidium_peruanum,Extant,Current,Current,No,LC,2.661,No
Glaucidium_brasilianum,Multiple,Extant,Current,Current,No,LC,2.5935,No
Glaucidium_kurochkini,Glaucidium_kurochkini,Extinct,EX_Other,EX_U,No,EX,NA,No
Glaucidium_mooreorum,Glaucidium_mooreorum,Extant,Current,Current,No,CR,2.702,No
Glaucidium_castanopterum,Glaucidium_castanopterum,Extant,Current,Current,No,LC,2.795,No
Glaucidium_palmarum,Glaucidium_palmarum,Extant,Current,Current,No,LC,2.66,No
Glaucidium_passerinum,Glaucidium_passerinum,Extant,Current,Current,No,LC,2.193,No
Glaucidium_parkeri,Glaucidium_parkeri,Extant,Current,Current,No,LC,2.951,No
Glaucidium_costaricanum,Glaucidium_costaricanum,Extant,Current,Current,No,LC,3.004,No
Glaucidium_radiatum,Glaucidium_radiatum,Extant,Current,Current,No,LC,3.37,No
Glaucidium_tephronotum,Glaucidium_tephronotum,Extant,Current,Current,No,LC,3.151,No
Glaucidium_nubicola,Glaucidium_nubicola,Extant,Current,Current,No,VU,3.051,No
Glaucidium_cuculoides,Glaucidium_cuculoides,Extant,Current,Current,No,LC,3.385,No
Aegolius_funereus,Aegolius_funereus,Extant,Current,Current,No,LC,4.116,No
Aegolius_acadicus,Aegolius_acadicus,Extant,Current,Current,No,LC,2.618,No
Aegolius_gradyi,Aegolius_gradyi,Extinct,EX_IUCN,EX_IUCN,Yes,EX,NA,Yes
Aegolius_harrisii,Aegolius_harrisii,Extant,Current,Current,No,LC,4.263,No
Aegolius_ridgwayi,Aegolius_ridgwayi,Extant,Current,Current,No,LC,2.568,No
Asphaltoglaux_cecileae,Asphaltoglaux_cecileae,Extinct,EX_Other,EX_U,No,EX,NA,No
Micrathene_whitneyi,Micrathene_whitneyi,Extant,Current,Current,No,LC,2.606,No
Ninox_boobook,Ninox_boobook,Extant,Current,Current,No,LC,4.957,No
Ninox_squamipila,Multiple,Extant,Current,Current,Yes,LC,3.619,Yes
Ninox_odiosa,Ninox_odiosa,Extant,Current,Current,Yes,VU,4.767,Yes
Ninox_novaeseelandiae,Multiple,Extant,Current,Current,No,LC,4.2805,No
Ninox_sp_NewCaledonia,Ninox_sp_NewCaledonia,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Ninox_rudolfi,Ninox_rudolfi,Extant,Current,Current,Yes,NT,5.359,Yes
Ninox_ochracea,Ninox_ochracea,Extant,Current,Current,Yes,NT,5.332,Yes
Ninox_natalis,Ninox_natalis,Extant,Current,Current,Yes,VU,5.149,Yes
Ninox_connivens,Ninox_connivens,Extant,Current,Current,No,LC,6.804,No
Ninox_burhani,Ninox_burhani,Extant,Current,Current,Yes,NT,3.969,Yes
Ninox_albifacies,Ninox_albifacies,Extinct,EX_IUCN,EX_IUCN,Yes,EX,NA,Yes
Ninox_philippensis,Multiple,Extant,Current,Current,No,LC,3.619,No
Ninox_ios,Ninox_ios,Extant,Current,Current,Yes,VU,3.986,Yes
Ninox_strenua,Ninox_strenua,Extant,Current,Current,No,LC,8.22,No
Ninox_meeki,Ninox_meeki,Extant,Current,Current,Yes,LC,4.763,Yes
Ninox_sumbaensis,Ninox_sumbaensis,Extant,Current,Current,Yes,EN,3.928,Yes
Ninox_variegata,Ninox_variegata,Extant,Current,Current,Yes,LC,5.439,Yes
Ninox_punctulata,Ninox_punctulata,Extant,Current,Current,Yes,LC,4.381,Yes
Ninox_rufa,Ninox_rufa,Extant,Current,Current,No,LC,7.731,No
Ninox_superciliaris,Athene_superciliaris,Extant,Current,Current,Yes,LC,3.652,Yes
Ninox_jacquinoti,Multiple,Extant,Current,Current,Yes,LC,3.619,Yes
Ninox_theomacha,Ninox_theomacha,Extant,Current,Current,No,LC,4.694,No
Ninox_scutulata,Multiple,Extant,Current,Current,No,LC,3.619,No
Ninox_affinis,Ninox_affinis,Extant,Current,Current,Yes,LC,5.327,Yes
Uroglaux_dimorpha,Uroglaux_dimorpha,Extant,Current,Current,No,LC,5.035,No
Xenoglaux_loweryi,Xenoglaux_loweryi,Extant,Current,Current,No,VU,3.347,No
Anthracoceros_marchei,Anthracoceros_marchei,Extant,Current,Current,No,VU,5.556,No
Anthracoceros_malayanus,Anthracoceros_malayanus,Extant,Current,Current,No,VU,5.939,No
Anthracoceros_albirostris,Anthracoceros_albirostris,Extant,Current,Current,No,LC,6.181,No
Anthracoceros_montani,Anthracoceros_montani,Extant,Current,Current,Yes,CR,5.826,Yes
Anthracoceros_coronatus,Anthracoceros_coronatus,Extant,Current,Current,No,NT,5.383,No
Anorrhinus_austeni,Anorrhinus_austeni,Extant,Current,Current,No,NT,5.708,No
Anorrhinus_tickelli,Anorrhinus_tickelli,Extant,Current,Current,No,NT,5.916,No
Anorrhinus_galeritus,Anorrhinus_galeritus,Extant,Current,Current,No,NT,6.513,No
Buceros_bicornis,Buceros_bicornis,Extant,Current,Current,No,VU,14.154,No
